CABra dataset - Climate attributes
 
clim_p, clim_tmin, clim_tmax, clim_rh, clim_wind, and clim_srad are the long-term mean precipiation, minimum and maximum temperature, relative humidity, wind speed, and solar radiation in the catchment.
clim_et and clim_pet are the long-term mean actual and potential evapotranspiration in the catchment. clim_pet was calculated with Priestley & Taylor method.
aridity_index and p_seasonality are the aridity index and seasonality of precipitation in the catchment.
clim_quality is the quality of climate data based on data source: 1 = REF climatology; 2 = ENS climatology.
 
  CABra ID	     ANA ID	  clim_p	 clim_tmin	 clim_tmax	  clim_rh	 clim_wind	  clim_srad	  clim_et	 clim_pet	 aridity_index	   p_seasonality	 clim_quality
          	           	      mm	        °C	        °C	        %	     m s¯¹	     MJ m¯²	 mm day¯¹	 mm day¯¹	              	                	             
       473	   64360000	    4.16	     13.97	     25.02	    78.50	      1.24	      15.78	     2.66	     4.59	          1.10	            0.42	            1
       474	   64362000	    4.05	     14.62	     25.69	    76.90	      1.20	      16.20	     2.67	     4.71	          1.16	            0.47	            1
       475	   64380000	    4.15	     14.50	     25.59	    77.34	      1.14	      16.18	     2.76	     4.69	          1.13	            0.44	            1
       476	   64382000	    4.07	     14.87	     25.95	    76.49	      1.15	      16.39	     2.71	     4.76	          1.17	            0.47	            1
       477	   64442800	    4.42	     13.25	     24.30	    80.29	      1.29	      15.37	     2.70	     4.42	          1.00	            0.22	            1
       478	   64447000	    4.30	     13.32	     24.31	    80.44	      1.25	      15.33	     2.62	     4.42	          1.03	            0.25	            1
       479	   64465000	    4.28	     13.29	     24.39	    80.22	      1.22	      15.42	     2.63	     4.45	          1.04	            0.27	            1
       480	   64501000	    4.36	     13.80	     24.95	    78.88	      1.17	      15.81	     2.75	     4.58	          1.05	            0.33	            1
       481	   64507000	    4.35	     14.28	     25.44	    77.81	      1.19	      16.09	     2.75	     4.68	          1.08	            0.35	            1
       482	   64508500	    4.06	     16.10	     27.14	    73.93	      1.19	      17.06	     2.69	     5.03	          1.24	            0.54	            1
       483	   64550000	    4.13	     17.22	     27.80	    72.09	      1.28	      17.58	     2.63	     5.20	          1.26	            0.48	            1
       484	   64613000	    3.72	     17.83	     29.16	    71.45	      1.51	      17.90	     2.73	     5.34	          1.44	            0.62	            1
       485	   64617000	    3.87	     17.52	     28.80	    71.66	      1.50	      17.81	     2.74	     5.29	          1.37	            0.54	            1
       486	   64620000	    4.80	     13.33	     24.41	    79.51	      1.36	      15.77	     2.76	     4.53	          0.94	            0.23	            1
       487	   64625000	    4.68	     13.52	     24.81	    79.19	      1.27	      15.88	     2.78	     4.57	          0.98	            0.24	            1
       488	   64645000	    4.77	     13.88	     25.14	    78.54	      1.24	      16.12	     2.81	     4.66	          0.98	            0.24	            1
       489	   64652000	    4.68	     14.92	     26.13	    76.84	      1.13	      16.62	     2.86	     4.84	          1.03	            0.34	            1
       490	   64655000	    4.74	     14.37	     25.60	    77.74	      1.20	      16.36	     2.81	     4.74	          1.00	            0.27	            1
       491	   64659000	    4.96	     15.51	     26.70	    76.08	      1.19	      17.01	     2.74	     4.97	          1.00	            0.26	            1
       492	   64673000	    4.85	     15.50	     26.93	    75.95	      1.22	      17.23	     2.72	     5.05	          1.04	            0.29	            1
       493	   64675002	    4.72	     15.05	     26.23	    76.65	      1.20	      16.72	     2.78	     4.87	          1.03	            0.29	            1
       494	   64682000	    4.34	     16.29	     27.42	    73.80	      1.35	      17.55	     2.65	     5.14	          1.18	            0.32	            1
