CABra dataset - Additional attributes
 
longitude_centroid and latitude_centroid are the XY coordinates of the catchment centroid.
dist_coast is the distance to the nearest coast.
 
  CABra ID	     ANA ID	   longitude_centroid	    latitude_centroid	 dist_coast
          	           	                   dd	                   dd	         km
       223	   51430000	              -40.578	              -11.596	     168.21
       224	   51440000	              -40.289	              -11.573	     112.12
       225	   51560000	              -39.236	              -12.859	      15.70
       226	   51795000	              -39.345	              -13.375	       3.02
       227	   54010005	              -43.521	              -17.703	     391.53
       228	   54110002	              -43.185	              -16.703	     394.04
       229	   54150000	              -43.264	              -17.231	     349.02
       230	   54165000	              -42.803	              -16.119	     374.43
       231	   54195000	              -43.017	              -16.914	     336.19
       232	   54230000	              -43.168	              -17.915	     361.86
       233	   54260000	              -42.956	              -17.771	     353.42
       234	   54300000	              -42.452	              -17.581	     333.65
       235	   54390000	              -42.797	              -17.591	     326.10
       236	   54500000	              -42.574	              -17.480	     301.77
       237	   54580000	              -42.707	              -17.069	     253.61
       238	   54590000	              -41.513	              -16.937	     249.87
       239	   54710000	              -42.581	              -17.020	     204.86
       240	   54770000	              -41.197	              -15.965	     183.68
       241	   54780000	              -42.255	              -16.874	     138.06
       242	   54950000	              -42.059	              -16.801	      51.64
       243	   55340000	              -40.056	              -16.837	      38.17
       244	   55360000	              -40.131	              -17.056	      81.84
       245	   55370000	              -40.003	              -17.094	      59.38
       246	   55380000	              -39.975	              -17.106	      43.37
       247	   55460000	              -40.543	              -17.124	     104.62
       248	   55490000	              -40.392	              -17.180	      48.49
       249	   55510000	              -40.039	              -17.644	      28.38
       250	   55520001	              -41.750	              -17.679	     208.86
       251	   55560000	              -41.551	              -17.480	     189.86
       252	   55610000	              -41.386	              -17.846	     166.39
       253	   55630000	              -41.383	              -17.575	     132.66
       254	   55660000	              -40.950	              -17.152	     147.23
       255	   55699998	              -41.190	              -17.537	      89.55
       256	   55790000	              -41.224	              -18.028	     155.40
       257	   55850000	              -41.060	              -18.261	      63.51
       258	   55900000	              -41.005	              -18.803	     123.50
       259	   55920000	              -40.984	              -18.672	      70.71
       260	   55960000	              -40.981	              -18.433	      36.89
       261	   56028000	              -43.588	              -20.798	     223.60
       262	   56055000	              -43.450	              -21.002	     205.12
       263	   56065000	              -43.074	              -21.008	     197.25
       264	   56075000	              -43.393	              -20.869	     224.35
       265	   56085000	              -42.818	              -20.776	     212.05
       266	   56090000	              -42.949	              -20.842	     219.56
       267	   56240000	              -43.433	              -20.492	     251.14
       268	   56335001	              -43.390	              -20.446	     248.27
       269	   56385000	              -42.604	              -20.795	     189.04
       270	   56415000	              -42.624	              -20.579	     208.50
       271	   56484998	              -42.309	              -20.297	     194.90
